RUNUP_HT,DIST_FROM_SOURCE,CAUSE_CODE,TS_INTENSITY,DAMAGE_AMOUNT_ORDER
,48,,1,1
,483,1,,1
,66,0,1,1
,157,0,1,1
,9,1,,1
,40,1,,1
3,4,,,1
,2347,,,1
3.5,50,2,2,1
,231,,,1
,48,,,1
2,8,1,,1
2,1,,,1
2,69,,1,1
2,125,,,1
,38,,1,1
,15,2,1,1
,1,0,,1
,12,1,1,1
1,31,1,1,1
6,17,,1,1
6,39,8,1,1
,5,,1,1
,4,,,1
,12,,1,1
,6,3,1,1
,101,,1,1
4.5,97,,1,1
,93,,1,1
,416,,1,1
,62,6,1,1
3.2,46,0,,1
,143,,,1
1,161,,,1
4,59,,,1
5.5,65,,1,1
3.2,34,,1,1
,50,,,1
30.6,85,1,1,1
0.5,8548,,1,1
9.8,1245,0,1,1
,205,0,1,1
5.1,52,0,1,1
5.1,69,0,1,1
4.5,56,0,1,1
4.4,57,0,1,1
3.8,82,0,1,1
3.5,98,,1,1
3.2,106,1,1,1
3.4,113,1,1,1
2.9,131,1,1,1
4,66,1,1,1
38,13,,1,1
,194,,1,1
2.4,9657,0,1,1
,51,0,1,1
1,,0,1,1
,373,0,1,1
,266,0,1,1
0.11,766,0,1,1
0.5,108,0,1,1
0.75,60,0,1,1
0.83,158,0,1,1
2,176,0,1,1
1,197,0,1,1
2,194,1,1,1
4.5,216,0,1,1
0.4,254,0,1,1
1.9,264,0,1,1
1.2,63,0,1,1
1.4,102,1,1,1
2.7,91,0,1,1
0.9,368,0,1,1
0.9,277,0,1,1
3.8,170,0,1,1
2.3,164,0,1,1
0.55,303,0,1,1
2.65,169,0,1,1
3.7,82,0,1,1
4,88,0,1,1
,14,0,1,1
,358,0,1,1
,42,0,1,1
28,21,0,1,1
1.5,40,0,1,1
15.5,5,0,1,1
5.8,0,0,1,1
14.5,5,0,1,1
,52,0,1,1
,843,0,1,1
,334,0,1,1
,771,0,1,1
,679,0,1,1
,661,0,1,1
3.6,8,0,1,1
2.5,663,0,1,1
,16,0,1,1
,38,0,1,1
,28,0,1,1
,8,0,1,1
16,286,0,1,1
,11,0,1,1
,2,0,1,1
7.2,15,0,1,1
9.2,25,0,1,1
5,39,0,1,1
9.5,47,0,1,1
6,59,0,1,1
3.7,71,0,1,1
7.1,77,0,1,1
2.7,86,0,1,1
4.3,104,0,1,1
1.85,111,0,1,1
2,125,0,1,1
2,18,0,1,1
2,8,0,1,1
,3,0,1,1
6,145,0,1,1
,178,0,1,1
,162,0,1,1
,165,0,1,1
6,543,0,1,1
,228,0,1,1
,98,0,1,1
,130,0,1,1
3,253,0,1,1
,2015,0,1,1
,2016,0,1,1
,2066,0,1,1
,1711,0,1,1
,1482,0,1,1
,2267,0,1,1
,1196,0,1,1
8,75,0,1,1
1.5,405,0,1,1
1,421,0,1,1
9,,0,1,1
,,0,1,1
,1274,0,1,1
3,30,0,1,1
,24,0,1,1
3.1,23,0,1,1
0.91,9230,0,1,1
0.42,9085,0,1,1
,46,0,1,1
23,0,0,1,1
,10579,0,1,1
2,2,0,1,1
7,1,0,1,1
4,15,0,1,1
,1257,0,1,1
1.83,251,0,1,1
,0,0,1,1
,25,0,1,1
,31,0,1,1
6.56,211,0,1,1
6.27,220,0,1,1
6.37,220,0,1,1
4.26,268,0,1,1
12.99,188,0,1,1
17.59,188,0,1,1
12.34,188,0,1,1
10.04,188,0,1,1
12.31,188,0,1,1
10.39,188,0,1,1
8.44,188,0,1,1
3.35,55,0,1,1
4.92,50,0,1,1
3.08,161,0,1,1
2.88,161,0,1,1
2.58,161,0,1,1
3.51,161,0,1,1
2.08,162,0,1,1
3.86,162,0,1,1
2.58,152,0,1,1
